,0
o,0.13312519017821411
h,0.1332105361076497
l,0.13302205416428522
c,0.13292704034996344
volume,0.8529731395847988
r,0.010584124487689084
sma,0.13261358203100315
min,0.13306643748234515
max,0.1326480295221235
mom,0.004750360808638786
std,0.005820786676360761
